,Onduleur A: energie totale (MWh),Onduleur B: energie totale (MWh),Onduleur C: energie totale (MWh),Onduleur D-A: energie totale (MWh),Onduleur D-B: energie totale (MWh),Onduleur: energie totale (MWh)
2022-08-26 00:10:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 00:20:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 00:30:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 00:40:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 00:50:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 01:00:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 01:10:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 01:20:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 01:30:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 01:40:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 01:50:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 02:00:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 02:10:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 02:20:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 02:30:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 02:40:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 02:50:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 03:00:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 03:10:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 03:20:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 03:30:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 03:40:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 03:50:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 04:00:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 04:10:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 04:20:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 04:30:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 04:40:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 04:50:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 05:00:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 05:10:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 05:20:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 05:30:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
